"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3952","Verify Valid Login @sample @login @sanity","Google Chrome","Sat Dec 13 20:09:53 UTC 2025","failed","Sat Dec 13 20:09:57 UTC 2025","","LoginPage.spec.ts","",""
"","1","Verify in-valid Login","Google Chrome","Sat Dec 13 20:09:59 UTC 2025","skipped","Sat Dec 13 20:09:59 UTC 2025","","LoginPage.spec.ts","",""
